entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
ASSOC_IN,1000,,,#,#,13000000.00,13000000.00,INR
ASSOC_IN,1100,,,#,#,30000000.00,30000000.00,INR
ASSOC_IN,1200,,,#,#,16000000.00,16000000.00,INR
ASSOC_IN,1400,199,,#,#,63000000.00,63000000.00,INR
ASSOC_IN,1410,199,,#,#,-24000000.00,-24000000.00,INR
ASSOC_IN,2000,,,#,#,-19000000.00,-19000000.00,INR
ASSOC_IN,2210,,,#,#,-25000000.00,-25000000.00,INR
ASSOC_IN,3000,199,,#,#,-30000000.00,-30000000.00,INR
ASSOC_IN,3100,199,,#,#,-18100000.00,-18100000.00,INR
ASSOC_IN,4000,,,#,#,-52500000.00,-52500000.00,INR
ASSOC_IN,5000,,,#,#,31500000.00,31500000.00,INR
ASSOC_IN,5100,,,#,#,10500000.00,10500000.00,INR
ASSOC_IN,5500,,,#,#,3000000.00,3000000.00,INR
ASSOC_IN,5900,,,#,#,1600000.00,1600000.00,INR
