entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
JV_SA,1000,,,#,#,1950000.00,1950000.00,SAR
JV_SA,1100,,,#,#,3400000.00,3400000.00,SAR
JV_SA,1200,,,#,#,1600000.00,1600000.00,SAR
JV_SA,1400,199,,#,#,8300000.00,8300000.00,SAR
JV_SA,1410,199,,#,#,-3000000.00,-3000000.00,SAR
JV_SA,2000,,,#,#,-2550000.00,-2550000.00,SAR
JV_SA,2010,,SUB_US,#,#,-1700000.00,-1700000.00,SAR
JV_SA,2210,,,#,#,-3000000.00,-3000000.00,SAR
JV_SA,3000,199,,#,#,-4000000.00,-4000000.00,SAR
JV_SA,3100,199,,#,#,-240000.00,-240000.00,SAR
JV_SA,4000,,,#,#,-6750000.00,-6750000.00,SAR
JV_SA,5000,,,#,#,4050000.00,4050000.00,SAR
JV_SA,5100,,,#,#,1350000.00,1350000.00,SAR
JV_SA,5500,,,#,#,390000.00,390000.00,SAR
JV_SA,5900,,,#,#,200000.00,200000.00,SAR
