entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
PARENT,1000,,,#,#,4600000.00,4600000.00,USD
PARENT,1100,,,#,#,3050000.00,3050000.00,USD
PARENT,1110,,SUB_EU,#,#,750000.00,750000.00,USD
PARENT,1130,,SUB_US,#,#,2000000.00,2000000.00,USD
PARENT,1200,,,#,#,1450000.00,1450000.00,USD
PARENT,1400,199,,#,#,11500000.00,11500000.00,USD
PARENT,1410,199,,#,#,-3800000.00,-3800000.00,USD
PARENT,1700,199,SUB_US,#,#,2000000.00,2000000.00,USD
PARENT,1700,199,SUB_EU,#,#,6400000.00,6400000.00,USD
PARENT,1710,199,JV_SA,#,#,1500000.00,1500000.00,USD
PARENT,1710,199,ASSOC_IN,#,#,900000.00,900000.00,USD
PARENT,2000,,,#,#,-2000000.00,-2000000.00,USD
PARENT,2210,,,#,#,-6000000.00,-6000000.00,USD
PARENT,3000,199,,#,#,-10000000.00,-10000000.00,USD
PARENT,3100,199,,#,#,-10615000.00,-10615000.00,USD
PARENT,4000,,,#,#,-9000000.00,-9000000.00,USD
PARENT,4010,,SUB_EU,#,#,-600000.00,-600000.00,USD
PARENT,4300,,SUB_US,#,#,-60000.00,-60000.00,USD
PARENT,5000,,,#,#,5000000.00,5000000.00,USD
PARENT,5100,,,#,#,1750000.00,1750000.00,USD
PARENT,5300,,,#,#,225000.00,225000.00,USD
PARENT,5500,,,#,#,450000.00,450000.00,USD
PARENT,5900,,,#,#,500000.00,500000.00,USD
