entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
SUB_EU,1000,,,#,#,775000.00,775000.00,EUR
SUB_EU,1100,,,#,#,1600000.00,1600000.00,EUR
SUB_EU,1110,,ASSOC_IN,#,#,90000.00,90000.00,EUR
SUB_EU,1200,,,#,#,925000.00,925000.00,EUR
SUB_EU,1400,199,,#,#,4200000.00,4200000.00,EUR
SUB_EU,1410,199,,#,#,-1625000.00,-1625000.00,EUR
SUB_EU,2000,,,#,#,-1175000.00,-1175000.00,EUR
SUB_EU,2010,,PARENT,#,#,-600000.00,-600000.00,EUR
SUB_EU,2210,,,#,#,-1500000.00,-1500000.00,EUR
SUB_EU,3000,199,,#,#,-2000000.00,-2000000.00,EUR
SUB_EU,3100,199,,#,#,-615000.00,-615000.00,EUR
SUB_EU,4000,,,#,#,-3950000.00,-3950000.00,EUR
SUB_EU,5000,,,#,#,2250000.00,2250000.00,EUR
SUB_EU,5010,,PARENT,#,#,500000.00,500000.00,EUR
SUB_EU,5100,,,#,#,825000.00,825000.00,EUR
SUB_EU,5500,,,#,#,190000.00,190000.00,EUR
SUB_EU,5900,,,#,#,110000.00,110000.00,EUR
