entity_code,account_code,movement_code,partner_code,PROFIT_CENTER,SEGMENT,amount_lc,amount_tc,transaction_currency
PARENT,1000,,,#,#,4600000.00,4600000.00,USD
PARENT,1100,,,#,#,3050000.00,3050000.00,USD
PARENT,1110,,SUB_EU,#,#,750000.00,750000.00,USD
PARENT,1130,,SUB_US,#,#,2000000.00,2000000.00,USD
PARENT,1200,,,#,#,1450000.00,1450000.00,USD
PARENT,1400,199,,#,#,11500000.00,11500000.00,USD
PARENT,1410,199,,#,#,-3800000.00,-3800000.00,USD
PARENT,1700,199,SUB_US,#,#,2000000.00,2000000.00,USD
PARENT,1700,199,SUB_EU,#,#,6400000.00,6400000.00,USD
PARENT,1710,199,JV_SA,#,#,1500000.00,1500000.00,USD
PARENT,1710,199,ASSOC_IN,#,#,900000.00,900000.00,USD
PARENT,2000,,,#,#,-2000000.00,-2000000.00,USD
PARENT,2210,,,#,#,-6000000.00,-6000000.00,USD
PARENT,3000,199,,#,#,-10000000.00,-10000000.00,USD
PARENT,3100,199,,#,#,-10615000.00,-10615000.00,USD
PARENT,4000,,,#,#,-9000000.00,-9000000.00,USD
PARENT,4010,,SUB_EU,#,#,-600000.00,-600000.00,USD
PARENT,4300,,SUB_US,#,#,-60000.00,-60000.00,USD
PARENT,5000,,,#,#,5000000.00,5000000.00,USD
PARENT,5100,,,#,#,1750000.00,1750000.00,USD
PARENT,5300,,,#,#,225000.00,225000.00,USD
PARENT,5500,,,#,#,450000.00,450000.00,USD
PARENT,5900,,,#,#,500000.00,500000.00,USD
SUB_US,1000,,,#,#,1000000.00,1000000.00,USD
SUB_US,1100,,,#,#,1300000.00,1300000.00,USD
SUB_US,1110,,JV_SA,#,#,475000.00,475000.00,USD
SUB_US,1200,,,#,#,650000.00,650000.00,USD
SUB_US,1400,199,,#,#,3100000.00,3100000.00,USD
SUB_US,1410,199,,#,#,-1200000.00,-1200000.00,USD
SUB_US,2000,,,#,#,-850000.00,-850000.00,USD
SUB_US,2220,,PARENT,#,#,-2000000.00,-2000000.00,USD
SUB_US,3000,199,,#,#,-1000000.00,-1000000.00,USD
SUB_US,3100,199,,#,#,-1115000.00,-1115000.00,USD
SUB_US,4000,,,#,#,-3400000.00,-3400000.00,USD
SUB_US,5000,,,#,#,2050000.00,2050000.00,USD
SUB_US,5100,,,#,#,675000.00,675000.00,USD
SUB_US,5500,,,#,#,150000.00,150000.00,USD
SUB_US,5600,,PARENT,#,#,60000.00,60000.00,USD
SUB_US,5900,,,#,#,105000.00,105000.00,USD
SUB_EU,1000,,,#,#,775000.00,775000.00,EUR
SUB_EU,1100,,,#,#,1600000.00,1600000.00,EUR
SUB_EU,1110,,ASSOC_IN,#,#,90000.00,90000.00,EUR
SUB_EU,1200,,,#,#,925000.00,925000.00,EUR
SUB_EU,1400,199,,#,#,4200000.00,4200000.00,EUR
SUB_EU,1410,199,,#,#,-1625000.00,-1625000.00,EUR
SUB_EU,2000,,,#,#,-1175000.00,-1175000.00,EUR
SUB_EU,2010,,PARENT,#,#,-600000.00,-600000.00,EUR
SUB_EU,2210,,,#,#,-1500000.00,-1500000.00,EUR
SUB_EU,3000,199,,#,#,-2000000.00,-2000000.00,EUR
SUB_EU,3100,199,,#,#,-615000.00,-615000.00,EUR
SUB_EU,4000,,,#,#,-3950000.00,-3950000.00,EUR
SUB_EU,5000,,,#,#,2250000.00,2250000.00,EUR
SUB_EU,5010,,PARENT,#,#,500000.00,500000.00,EUR
SUB_EU,5100,,,#,#,825000.00,825000.00,EUR
SUB_EU,5500,,,#,#,190000.00,190000.00,EUR
SUB_EU,5900,,,#,#,110000.00,110000.00,EUR
JV_SA,1000,,,#,#,1950000.00,1950000.00,SAR
JV_SA,1100,,,#,#,3400000.00,3400000.00,SAR
JV_SA,1200,,,#,#,1600000.00,1600000.00,SAR
JV_SA,1400,199,,#,#,8300000.00,8300000.00,SAR
JV_SA,1410,199,,#,#,-3000000.00,-3000000.00,SAR
JV_SA,2000,,,#,#,-2550000.00,-2550000.00,SAR
JV_SA,2010,,SUB_US,#,#,-1700000.00,-1700000.00,SAR
JV_SA,2210,,,#,#,-3000000.00,-3000000.00,SAR
JV_SA,3000,199,,#,#,-4000000.00,-4000000.00,SAR
JV_SA,3100,199,,#,#,-240000.00,-240000.00,SAR
JV_SA,4000,,,#,#,-6750000.00,-6750000.00,SAR
JV_SA,5000,,,#,#,4050000.00,4050000.00,SAR
JV_SA,5100,,,#,#,1350000.00,1350000.00,SAR
JV_SA,5500,,,#,#,390000.00,390000.00,SAR
JV_SA,5900,,,#,#,200000.00,200000.00,SAR
ASSOC_IN,1000,,,#,#,13000000.00,13000000.00,INR
ASSOC_IN,1100,,,#,#,30000000.00,30000000.00,INR
ASSOC_IN,1200,,,#,#,16000000.00,16000000.00,INR
ASSOC_IN,1400,199,,#,#,63000000.00,63000000.00,INR
ASSOC_IN,1410,199,,#,#,-24000000.00,-24000000.00,INR
ASSOC_IN,2000,,,#,#,-19000000.00,-19000000.00,INR
ASSOC_IN,2210,,,#,#,-25000000.00,-25000000.00,INR
ASSOC_IN,3000,199,,#,#,-30000000.00,-30000000.00,INR
ASSOC_IN,3100,199,,#,#,-18100000.00,-18100000.00,INR
ASSOC_IN,4000,,,#,#,-52500000.00,-52500000.00,INR
ASSOC_IN,5000,,,#,#,31500000.00,31500000.00,INR
ASSOC_IN,5100,,,#,#,10500000.00,10500000.00,INR
ASSOC_IN,5500,,,#,#,3000000.00,3000000.00,INR
ASSOC_IN,5900,,,#,#,1600000.00,1600000.00,INR
